iter	Passed	Remaining
832	6038	1210
833	6045	1203
834	6052	1196
835	6060	1188
836	6067	1181
837	6074	1174
838	6081	1167
839	6089	1159
840	6096	1152
841	6103	1145
842	6110	1138
843	6117	1130
844	6125	1123
845	6132	1116
846	6139	1108
847	6146	1101
848	6153	1094
849	6160	1087
850	6167	1079
851	6174	1072
852	6181	1065
853	6188	1057
854	6195	1050
855	6202	1043
856	6209	1036
857	6216	1028
858	6223	1021
859	6230	1014
860	6237	1006
861	6244	999
862	6251	992
863	6258	985
864	6265	977
865	6272	970
866	6279	963
867	6286	956
868	6293	948
869	6300	941
870	6307	934
871	6314	926
872	6322	919
873	6329	912
874	6336	905
875	6343	897
876	6350	890
877	6357	883
878	6365	876
879	6372	868
880	6379	861
881	6386	854
882	6393	847
883	6400	839
884	6407	832
885	6414	825
886	6422	818
887	6429	810
888	6436	803
889	6443	796
890	6450	789
891	6457	781
892	6464	774
893	6471	767
894	6479	760
895	6486	752
896	6493	745
897	6500	738
898	6508	731
899	6515	723
900	6522	716
901	6529	709
902	6536	702
903	6543	694
904	6550	687
905	6557	680
906	6564	673
907	6571	665
908	6578	658
909	6585	651
910	6592	644
911	6599	636
912	6606	629
913	6614	622
914	6621	615
915	6628	607
916	6635	600
917	6642	593
918	6649	586
919	6656	578
920	6663	571
921	6670	564
922	6677	557
923	6684	549
924	6691	542
925	6698	535
926	6706	528
927	6713	520
928	6720	513
929	6726	506
930	6734	499
931	6741	491
932	6748	484
933	6755	477
934	6762	470
935	6769	462
936	6776	455
937	6784	448
938	6791	441
939	6798	433
940	6805	426
941	6812	419
942	6819	412
943	6826	404
944	6833	397
945	6840	390
946	6847	383
947	6854	376
948	6862	368
949	6869	361
950	6876	354
951	6883	347
952	6890	339
953	6897	332
954	6904	325
955	6913	318
956	6921	311
957	6929	303
958	6936	296
959	6943	289
960	6950	282
961	6958	274
962	6965	267
963	6972	260
964	6979	253
965	6986	245
966	6993	238
967	7001	231
968	7008	224
969	7015	216
970	7022	209
971	7030	202
972	7037	195
973	7044	188
974	7051	180
975	7058	173
976	7065	166
977	7072	159
978	7079	151
979	7087	144
980	7094	137
981	7101	130
982	7108	122
983	7115	115
984	7122	108
985	7129	101
986	7136	93
987	7143	86
988	7150	79
989	7156	72
990	7163	65
991	7171	57
992	7178	50
993	7185	43
994	7192	36
995	7199	28
996	7206	21
997	7213	14
998	7220	7
999	7228	0
